x,y
0.5,0.46468
0.50751,0.47072
0.51502,0.47668
0.52252,0.48256
0.53003,0.48836
0.53754,0.49408
0.54505,0.49972
0.55255,0.50529
0.56006,0.51078
0.56757,0.51619
0.57508,0.52153
0.58258,0.5268
0.59009,0.53199
0.5976,0.53711
0.60511,0.54216
0.61261,0.54714
0.62012,0.55204
0.62763,0.55688
0.63514,0.56166
0.64264,0.56636
0.65015,0.571
0.65766,0.57557
0.66517,0.58008
0.67267,0.58452
0.68018,0.5889
0.68769,0.59322
0.6952,0.59748
0.7027,0.60168
0.71021,0.60582
0.71772,0.6099
0.72523,0.61393
0.73273,0.61789
0.74024,0.62181
0.74775,0.62566
0.75526,0.62947
0.76276,0.63321
0.77027,0.63691
0.77778,0.64056
0.78529,0.64415
0.79279,0.64769
0.8003,0.65119
0.80781,0.65464
0.81532,0.65803
0.82282,0.66139
0.83033,0.66469
0.83784,0.66795
0.84535,0.67117
0.85285,0.67434
0.86036,0.67746
0.86787,0.68055
0.87538,0.68359
0.88288,0.68659
0.89039,0.68955
0.8979,0.69247
0.90541,0.69536
0.91291,0.6982
0.92042,0.701
0.92793,0.70377
0.93544,0.7065
0.94294,0.70919
0.95045,0.71185
0.95796,0.71447
0.96547,0.71706
0.97297,0.71962
0.98048,0.72214
0.98799,0.72462
0.9955,0.72708
1,0.72854
1.003,0.7295
1.01051,0.73189
1.01802,0.73425
1.02553,0.73658
1.03303,0.73888
1.04054,0.74115
1.04805,0.7434
1.05556,0.74561
1.06306,0.74779
1.07057,0.74995
1.07808,0.75208
1.08559,0.75419
1.09309,0.75626
1.1006,0.75831
1.10811,0.76034
1.11562,0.76234
1.12312,0.76431
1.13063,0.76627
1.13814,0.76819
1.14565,0.7701
1.15315,0.77198
1.16066,0.77383
1.16817,0.77567
1.17568,0.77748
1.18318,0.77927
1.19069,0.78104
1.1982,0.78279
1.20571,0.78452
1.21321,0.78622
1.22072,0.78791
1.22823,0.78958
1.23574,0.79122
1.24324,0.79285
1.25075,0.79446
1.25826,0.79605
1.26577,0.79762
1.27327,0.79917
1.28078,0.80071
1.28829,0.80222
1.2958,0.80372
1.3033,0.80521
1.31081,0.80667
1.31832,0.80812
1.32583,0.80955
1.33333,0.81097
1.34084,0.81237
1.34835,0.81376
1.35586,0.81513
1.36336,0.81648
1.37087,0.81782
1.37838,0.81914
1.38589,0.82045
1.39339,0.82175
1.4009,0.82303
1.40841,0.8243
1.41592,0.82555
1.42342,0.82679
1.43093,0.82802
1.43844,0.82923
1.44595,0.83043
1.45345,0.83162
1.46096,0.83279
1.46847,0.83395
1.47598,0.8351
1.48348,0.83624
1.49099,0.83737
1.4985,0.83848
1.50601,0.83958
1.51351,0.84067
1.52102,0.84175
1.52853,0.84282
1.53604,0.84388
1.54354,0.84492
1.55105,0.84596
1.55856,0.84698
1.56607,0.848
1.57357,0.849
1.58108,0.85
1.58859,0.85098
1.5961,0.85195
1.6036,0.85292
1.61111,0.85387
1.61862,0.85482
1.62613,0.85575
1.63363,0.85668
1.64114,0.8576
1.64865,0.85851
1.65616,0.85941
1.66366,0.8603
1.67117,0.86118
1.67868,0.86205
1.68619,0.86292
1.69369,0.86377
1.7012,0.86462
1.70871,0.86546
1.71622,0.86629
1.72372,0.86712
1.73123,0.86794
1.73874,0.86874
1.74625,0.86954
1.75375,0.87034
1.76126,0.87112
1.76877,0.8719
1.77628,0.87267
1.78378,0.87344
1.79129,0.8742
1.7988,0.87495
1.80631,0.87569
1.81381,0.87643
1.82132,0.87716
1.82883,0.87788
1.83634,0.8786
1.84384,0.87931
1.85135,0.88001
1.85886,0.88071
1.86637,0.8814
1.87387,0.88208
1.88138,0.88276
1.88889,0.88343
1.8964,0.8841
1.9039,0.88476
1.91141,0.88542
1.91892,0.88606
1.92643,0.88671
1.93393,0.88735
1.94144,0.88798
1.94895,0.8886
1.95646,0.88923
1.96396,0.88984
1.97147,0.89045
1.97898,0.89106
1.98649,0.89166
1.99399,0.89225
2,0.89273
2.0015,0.89284
2.00901,0.89343
2.01652,0.89401
2.02402,0.89458
2.03153,0.89515
2.03904,0.89572
2.04655,0.89628
2.05405,0.89684
2.06156,0.89739
2.06907,0.89793
2.07658,0.89848
2.08408,0.89901
2.09159,0.89955
2.0991,0.90008
2.10661,0.9006
2.11411,0.90112
