g,pt,time,predict,rep,norm,norm.fit
4.354342566,40,1.06E-05,4.239905243,1,0.981074441,0.947603938
4.308226856,40,1.15E-05,4.222223436,1,0.967586568,0.942432382
4.288053501,40,1.25E-05,4.20473531,1,0.961686287,0.937317474
4.269295183,40,1.34E-05,4.1874377,1,0.956199875,0.932258288
4.245529809,40,1.44E-05,4.170327509,1,0.949249005,0.927253918
4.235116585,40,1.54E-05,4.153401708,1,0.946203356,0.922303478
4.204294165,40,1.63E-05,4.136657333,1,0.937188449,0.917406102
4.177807565,40,1.73E-05,4.120091481,1,0.929441677,0.91256094
4.139184298,40,1.82E-05,4.103701313,1,0.918145186,0.907767161
4.122330838,40,1.92E-05,4.087484049,1,0.913215904,0.903023954
4.125687017,40,2.02E-05,4.071436967,1,0.914197516,0.898330521
4.108325595,40,2.11E-05,4.055557403,1,0.909119666,0.893686083
4.067525346,40,2.21E-05,4.039842746,1,0.897186454,0.889089878
4.057075838,40,2.30E-05,4.024290442,1,0.894130193,0.884541157
4.035287889,40,2.40E-05,4.008897988,1,0.887757678,0.880039189
4.026162711,40,2.50E-05,3.99366293,1,0.885088756,0.875583256
4.002742026,40,2.59E-05,3.978582868,1,0.8782387,0.871172656
3.968055465,40,2.69E-05,3.963655449,1,0.868093612,0.8668067
3.956209062,40,2.78E-05,3.948878365,1,0.864628789,0.862484715
3.941931696,40,2.88E-05,3.934249359,1,0.860452961,0.858206039
3.922193737,40,2.98E-05,3.919766214,1,0.854680024,0.853970025
3.914864568,40,3.07E-05,3.90542676,1,0.852536397,0.849776037
3.881547691,40,3.22E-05,3.884182357,1,0.842791913,0.843562497
3.839069353,40,3.41E-05,3.856339894,1,0.830367895,0.835419164
3.80688632,40,3.60E-05,3.829035224,1,0.820955037,0.827433124
3.769405968,40,3.79E-05,3.802252913,1,0.809992825,0.819599863
3.739844383,40,3.98E-05,3.775978114,1,0.801346685,0.811915039
3.712087877,40,4.18E-05,3.750196538,1,0.793228492,0.804374472
3.687751046,40,4.37E-05,3.724894424,1,0.786110483,0.796974137
3.664566201,40,4.56E-05,3.700058522,1,0.779329405,0.78971016
3.629798003,40,4.75E-05,3.675676063,1,0.76916044,0.782578805
3.610649643,40,4.94E-05,3.651734742,1,0.763559949,0.775576474
3.584163043,40,5.14E-05,3.628222694,1,0.755813177,0.768699696
3.563871768,40,5.33E-05,3.605128476,1,0.749878407,0.761945124
3.524568194,40,5.52E-05,3.582441049,1,0.738382941,0.75530953
3.509674017,40,5.71E-05,3.560149758,1,0.734026708,0.748789798
3.481336984,40,5.90E-05,3.538244318,1,0.725738724,0.742382919
3.456328917,40,6.10E-05,3.516714797,1,0.718424392,0.736085988
3.423964469,40,6.38E-05,3.485104464,1,0.708958474,0.726840632
3.380043881,40,6.77E-05,3.444186198,1,0.696112628,0.714872903
3.337615433,40,7.15E-05,3.404609036,1,0.683703202,0.703297418
3.307350864,40,7.54E-05,3.366308108,1,0.674851454,0.692095204
3.260804293,40,7.92E-05,3.329222663,1,0.661237564,0.681248494
3.234426543,40,8.30E-05,3.293295745,1,0.653522629,0.670740628
3.195132039,40,8.69E-05,3.2584739,1,0.642029815,0.660555973
3.15179198,40,9.07E-05,3.224706914,1,0.629353762,0.650679842
3.124869984,40,9.46E-05,3.191947571,1,0.621479646,0.641098425
3.096555628,40,9.84E-05,3.16015143,1,0.613198294,0.631798725
3.07129358,40,0.00010224,3.129276625,1,0.605809678,0.622768496
3.035777045,40,0.00010608,3.099283683,1,0.595421841,0.613996193
3.002387602,40,0.00010992,3.070135354,1,0.585656133,0.605470921
2.972186529,40,0.00011376,3.041796457,1,0.576822956,0.597182392
2.954362499,40,0.0001176,3.014233736,1,0.571609804,0.589120877
2.924238527,40,0.00012144,2.987415734,1,0.562799177,0.581277178
2.892470481,40,0.0001272,2.948520367,1,0.553507694,0.569901103
2.842615353,40,0.00013488,2.899001308,1,0.538926121,0.555417823
2.803942196,40,0.00014256,2.851973091,1,0.527615038,0.541663062
2.75766548,40,0.00015024,2.807252392,1,0.514080075,0.528583201
2.727616342,40,0.00015792,2.764673443,1,0.505291336,0.516129756
2.686326273,40,0.0001656,2.724085985,1,0.493214862,0.504258781
2.651387999,40,0.00017328,2.685353493,1,0.482996154,0.492930344
2.615408856,40,0.00018096,2.64835164,1,0.472473013,0.482108083
2.582432132,40,0.00018864,2.61296697,1,0.462828017,0.471758813
2.553528177,40,0.00019632,2.579095731,1,0.45437422,0.46185219
2.52644064,40,0.000204,2.546642859,1,0.446451687,0.45236041
2.499908686,40,0.00021168,2.515521089,1,0.43869165,0.443257949
2.46813157,40,0.00021936,2.485650173,1,0.429397514,0.434521336
2.445504576,40,0.00022704,2.456956183,1,0.422779596,0.426128949
2.417471412,40,0.00023472,2.429370906,1,0.414580486,0.418060837
2.394928323,40,0.0002424,2.402831301,1,0.407987108,0.410298563
2.362724881,40,0.00025392,2.36485606,1,0.398568281,0.399191606
2.319879177,40,0.00026928,2.317372335,1,0.386036816,0.385303618
2.280649303,40,0.00028464,2.273148686,1,0.374562906,0.372369134
2.245995624,40,3.00E-04,2.231860517,1,0.364427436,0.360293215
2.210989319,40,0.00031536,2.193224938,1,0.35418883,0.348993123
2.179573899,40,0.00033072,2.156994281,1,0.345000482,0.33839642
2.148066637,40,0.00034608,2.122950775,1,0.335785273,0.328439413
2.118338377,40,0.00036144,2.090902175,1,0.327090384,0.319065874
2.094855331,40,0.0003768,2.060678124,1,0.320222088,0.310225976
2.070030946,40,0.00039216,2.032127125,1,0.312961479,0.301875411
2.046801881,40,0.00040752,2.005114001,1,0.306167468,0.293974642
2.019283483,40,0.00042288,1.979517757,1,0.298118917,0.286488281
2.000533102,40,0.00043824,1.955229765,1,0.292634826,0.279384556
1.976898121,40,0.0004536,1.932152226,1,0.285722093,0.272634862
1.960791864,40,0.00046896,1.91019685,1,0.281011352,0.266213378
1.940670666,40,0.00048432,1.889283731,1,0.275126326,0.260096732
1.91669383,40,0.00050736,1.859711518,1,0.268113608,0.251447483
1.880426691,40,0.00053808,1.823306277,1,0.257506234,0.240799718
1.85069106,40,0.0005688,1.789958345,1,0.24880919,0.231046152
1.818500091,40,0.00059952,1.759298113,1,0.23939401,0.222078681
1.790170427,40,0.00063024,1.731013242,1,0.231108181,0.213805953
1.7638437,40,0.00066096,1.704837984,1,0.223408169,0.206150242
1.74153815,40,0.00069168,1.680544807,1,0.216884266,0.199045
1.718660577,40,0.0007224,1.657937766,1,0.210193059,0.192432917
1.697176497,40,0.00075312,1.636847201,1,0.203909418,0.186264372
1.679807705,40,0.00078384,1.617125477,1,0.198829413,0.180496184
1.662375985,40,0.00081456,1.59864352,1,0.193731003,0.175090601
1.643782642,40,0.00084528,1.581287988,1,0.188292842,0.170014474
1.630915211,40,0.000876,1.564958949,1,0.18452939,0.165238575
1.612923939,40,0.00090672,1.54956795,1,0.179267323,0.160737032
1.598632967,40,0.00093744,1.535036418,1,0.175087515,0.156486866
1.586748579,40,0.00096816,1.521294316,1,0.171611582,0.152467591
1.564475061,40,0.00101424,1.502026136,1,0.165097048,0.146832055
1.53946501,40,0.00107568,1.478565606,1,0.157782135,0.139970344
1.518364737,40,0.00113712,1.457322768,1,0.151610751,0.133757262
1.500963347,40,0.00119856,1.437997361,1,0.146521211,0.128104989
1.485900794,40,0.00126,1.420340987,1,0.142115732,0.122940872
1.469197569,40,0.00132144,1.404146377,1,0.137230391,0.11820429
1.453020447,40,0.00138288,1.38923922,1,0.132498924,0.113844261
1.441371049,40,0.00144432,1.375471858,1,0.129091721,0.109817598
1.428443808,40,0.00150576,1.362718382,1,0.125310776,0.106087475
1.416122891,40,0.0015672,1.350870769,1,0.121707167,0.102622298
1.403251208,40,0.00162864,1.339835816,1,0.117942472,0.099394807
1.393265159,40,0.00169008,1.329532683,1,0.115021763,0.096381358
1.379220515,40,0.00175152,1.319890905,1,0.110914001,0.093561342
1.369622524,40,0.00181296,1.310848784,1,0.108106791,0.090916712
1.361604829,40,0.0018744,1.302352066,1,0.105761784,0.088431601
1.35245499,40,0.00193584,1.294352849,1,0.10308565,0.086091999
1.342407996,40,0.002028,1.283195276,1,0.100147116,0.082828644
1.325573529,40,0.00215088,1.269701199,1,0.095223389,0.078881911
1.312976662,40,0.00227376,1.25756818,1,0.091539071,0.075333259
1.301824879,40,0.00239664,1.246600183,1,0.08827741,0.072125351
1.291670171,40,0.00251952,1.236637097,1,0.085307372,0.069211359
1.284041384,40,0.0026424,1.227546864,1,0.083076113,0.066552658
1.275693881,40,0.00276528,1.219219592,1,0.080634644,0.064117106
1.26558807,40,0.00288816,1.211563095,1,0.077678908,0.061877742
1.257480376,40,0.00301104,1.204499463,1,0.075307578,0.059811779
1.248199436,40,0.00313392,1.197962402,1,0.072593099,0.057899827
1.240328148,40,0.0032568,1.191895146,1,0.070290914,0.056125282
1.234354632,40,0.00337968,1.186248806,1,0.068543786,0.054473847
1.229690847,40,0.00350256,1.18098105,1,0.067179727,0.052933139
1.225919398,40,0.00362544,1.176055036,1,0.066076658,0.051492384
1.220663605,40,0.00374832,1.171438554,1,0.06453945,0.050142161
1.215380033,40,0.0038712,1.167103317,1,0.062994116,0.048874195
1.206180872,40,0.00405552,1.161074034,1,0.060303556,0.047110757
1.197455091,40,0.00430128,1.153809489,1,0.057751449,0.044986031
1.18884567,40,0.00454704,1.147303074,1,0.055233375,0.043083042
1.181150624,40,0.0047928,1.141441995,1,0.052982736,0.0413688
1.17243526,40,0.00503856,1.136134778,1,0.050433676,0.039816551
1.165719005,40,0.00528432,1.131306457,1,0.048469313,0.038404369
1.158688463,40,0.00553008,1.12689501,1,0.046413028,0.037114114
1.151622133,40,0.00577584,1.122848683,1,0.044346275,0.035930648
1.147837078,40,0.0060216,1.119123947,1,0.043239227,0.034841242
1.142629615,40,0.00626736,1.115683928,1,0.041716154,0.033835109
1.136194908,40,0.00651312,1.112497184,1,0.039834138,0.032903053
1.132341822,40,0.00675888,1.109536736,1,0.038707191,0.032037185
1.125674251,40,0.00700464,1.106779305,1,0.036757067,0.031230694
1.123627521,40,0.0072504,1.104204701,1,0.036158442,0.030477677
1.120951294,40,0.00749616,1.101795325,1,0.035375702,0.029772985
1.11882484,40,0.00774192,1.099535765,1,0.034753759,0.029112112
1.11255695,40,0.00811056,1.096398125,1,0.032920533,0.028194418
1.105751086,40,0.00860208,1.092625164,1,0.030929962,0.027090907
1.100599925,40,0.0090936,1.089252895,1,0.029423356,0.026104589
1.093083212,40,0.00958512,1.086220707,1,0.027224876,0.025217738
1.088213138,40,0.01007664,1.083479624,1,0.025800482,0.024416029
1.083862295,40,0.01056816,1.080989646,1,0.024527952,0.023687763
1.079904895,40,0.01105968,1.078717779,1,0.023370496,0.02302329
1.07430987,40,0.0115512,1.076636568,1,0.021734069,0.022414579
1.069337042,40,0.01204272,1.074722978,1,0.020279622,0.021854895
1.067087283,40,0.01253424,1.072957544,1,0.019621615,0.021338543
1.061652307,40,0.01302576,1.0713237,1,0.018031999,0.020860678
1.058360616,40,0.01351728,1.069807263,1,0.017069249,0.020417152
1.056041975,40,0.0140088,1.068396017,1,0.016391095,0.020004392
1.054178148,40,0.01450032,1.067079383,1,0.015845965,0.019619304
1.04952262,40,0.01499184,1.065848155,1,0.014484322,0.019259196
1.047486377,40,0.01548336,1.064694285,1,0.013888764,0.018921714
1.046039468,40,0.01622064,1.063093294,1,0.013465573,0.018453458
1.04170542,40,0.01720368,1.061170098,1,0.012197956,0.017890963
1.038727254,40,0.01818672,1.059452965,1,0.011326905,0.017388738
1.036407373,40,0.01916976,1.057910461,1,0.010648389,0.016937588
1.032975085,40,0.0201528,1.056517236,1,0.009644517,0.016530099
1.032434968,40,0.02113584,1.055252619,1,0.009486544,0.016160226
1.031508157,40,0.02211888,1.054099589,1,0.009215471,0.015822989
1.030202819,40,0.02310192,1.053044,1,0.008833687,0.015514251
1.027574833,40,0.02408496,1.052074002,1,0.008065057,0.015230547
1.024781821,40,0.025068,1.051179589,1,0.00724816,0.01496895
1.022871187,40,0.02605104,1.050352259,1,0.00668934,0.014726974
1.020044726,40,0.02703408,1.049584738,1,0.00586266,0.01450249
1.020373665,40,0.02801712,1.048870765,1,0.005958867,0.014293668
1.018709713,40,0.02900016,1.048204926,1,0.005472196,0.014098924
1.018764368,40,0.0299832,1.047582512,1,0.005488182,0.013916881
1.018434792,40,0.03096624,1.04699941,1,0.005391788,0.013746336
1.016542078,40,0.0324408,1.046190685,1,0.004838209,0.013509801
1.01218902,40,0.03440688,1.045219707,1,0.003565031,0.01322581
1.012675032,40,0.03637296,1.04435323,1,0.003707179,0.012972384
1.012301811,40,0.03833904,1.043575246,1,0.00359802,0.01274484
1.012163942,40,0.04030512,1.042872856,1,0.003557696,0.012539406
1.01262206,40,0.0422712,1.042235553,1,0.003691686,0.012353008
1.010753928,40,0.04423728,1.041654692,1,0.003145297,0.012183119
1.009336153,40,0.04620336,1.041123091,1,0.002730628,0.012027637
1.009844779,40,0.04816944,1.040634739,1,0.00287939,0.011884804
1.008461702,40,0.05013552,1.040184566,1,0.002474869,0.011753138
1.007959861,40,0.0521016,1.039768261,1,0.002328091,0.011631377
1.006460627,40,0.05406768,1.039382142,1,0.001889597,0.011518446
1.007570377,40,0.05603376,1.039023041,1,0.002214176,0.011413416
1.005765988,40,0.05799984,1.038688217,1,0.00168643,0.011315487
1.007725696,40,0.05996592,1.038375288,1,0.002259603,0.011223962
1.007228886,40,0.061932,1.038082177,1,0.002114297,0.011138233
1.005422482,40,0.06488112,1.037675733,1,0.001585962,0.011019357
