g0,td,chl,sam,time.react,fret
4.940949038,0.001832282,Ac,1,0us,0.2_0.4
4.482636813,0.001732846,Ac,2,0us,0.2_0.4
4.532000027,0.001703462,Ac,3,0us,0.2_0.4
4.700735246,0.001893386,Ac,4,0us,0.2_0.4
4.811515723,0.002033326,Ac,5,0us,0.2_0.4
4.573370739,0.001941471,Ac,6,0us,0.2_0.4
4.9725301,0.001939769,Ac,7,0us,0.2_0.4
4.939502076,0.001913416,Ac,8,0us,0.2_0.4
4.713155833,0.001723581,Ac,9,0us,0.2_0.4
4.592386463,0.001893343,Ac,10,0us,0.2_0.4
4.8111113,0.00183131,Ac,11,0us,0.2_0.4
4.931924504,0.001920931,Ac,12,0us,0.2_0.4
4.575254822,0.001863401,Ac,13,0us,0.2_0.4
5.086259514,0.001889641,Ac,14,0us,0.2_0.4
4.385728918,0.001939916,Ac,15,0us,0.2_0.4
4.451394528,0.002035568,Ac,16,0us,0.2_0.4
4.246699242,0.00172373,Ac,17,0us,0.2_0.4
4.850711571,0.001959819,Ac,18,0us,0.2_0.4
4.572752004,0.001930299,Ac,19,0us,0.2_0.4
4.642043692,0.001828523,Ac,20,0us,0.2_0.4
4.353739377,0.00186828,Ac,1,100us,0.2_0.4
4.058364034,0.001776972,Ac,2,100us,0.2_0.4
4.575049392,0.001999553,Ac,3,100us,0.2_0.4
3.975140426,0.001835948,Ac,4,100us,0.2_0.4
3.795411403,0.001830201,Ac,5,100us,0.2_0.4
4.430031734,0.00173772,Ac,6,100us,0.2_0.4
4.223138208,0.001761077,Ac,7,100us,0.2_0.4
4.474083856,0.001936155,Ac,8,100us,0.2_0.4
4.021386681,0.001850289,Ac,9,100us,0.2_0.4
4.298672856,0.001811194,Ac,10,100us,0.2_0.4
4.475633127,0.001730101,Ac,11,100us,0.2_0.4
4.404951667,0.001845657,Ac,12,100us,0.2_0.4
4.136716023,0.001923741,Ac,13,100us,0.2_0.4
4.630721061,0.001736219,Ac,14,100us,0.2_0.4
4.525556037,0.001773435,Ac,15,100us,0.2_0.4
4.779043369,0.001720886,Ac,16,100us,0.2_0.4
4.708252939,0.001870408,Ac,17,100us,0.2_0.4
4.460330109,0.001751465,Ac,18,100us,0.2_0.4
4.462865331,0.001883142,Ac,19,100us,0.2_0.4
4.605547579,0.001803628,Ac,20,100us,0.2_0.4
4.199903785,0.001816768,Ac,1,200us,0.2_0.4
4.436084003,0.001930762,Ac,2,200us,0.2_0.4
4.086819938,0.001718601,Ac,3,200us,0.2_0.4
4.214365087,0.001886295,Ac,4,200us,0.2_0.4
4.099259096,0.001621321,Ac,5,200us,0.2_0.4
4.784885754,0.001784126,Ac,6,200us,0.2_0.4
4.486202161,0.001756632,Ac,7,200us,0.2_0.4
4.858208147,0.001748899,Ac,8,200us,0.2_0.4
4.33286438,0.001683842,Ac,9,200us,0.2_0.4
4.313599077,0.00165752,Ac,10,200us,0.2_0.4
4.681556749,0.001868769,Ac,11,200us,0.2_0.4
5.034119943,0.001787021,Ac,12,200us,0.2_0.4
4.429858623,0.001800551,Ac,13,200us,0.2_0.4
4.526922594,0.00179646,Ac,14,200us,0.2_0.4
4.490182236,0.001801304,Ac,15,200us,0.2_0.4
4.359830188,0.001756572,Ac,16,200us,0.2_0.4
4.216682811,0.001715191,Ac,17,200us,0.2_0.4
4.258119901,0.001717571,Ac,18,200us,0.2_0.4
4.697137065,0.001854134,Ac,19,200us,0.2_0.4
4.553623026,0.001697741,Ac,20,200us,0.2_0.4
4.224987261,0.001743579,Ac,1,500us,0.2_0.4
4.5564189,0.001786273,Ac,2,500us,0.2_0.4
4.382428459,0.001697599,Ac,3,500us,0.2_0.4
3.997718809,0.001768374,Ac,4,500us,0.2_0.4
4.688852943,0.001790193,Ac,5,500us,0.2_0.4
4.647355836,0.001762887,Ac,6,500us,0.2_0.4
4.80106286,0.001793286,Ac,7,500us,0.2_0.4
4.681328382,0.001740644,Ac,8,500us,0.2_0.4
4.672108623,0.001638877,Ac,9,500us,0.2_0.4
4.217199655,0.001651116,Ac,10,500us,0.2_0.4
4.63036664,0.001772943,Ac,11,500us,0.2_0.4
4.665434226,0.001758049,Ac,12,500us,0.2_0.4
4.255848206,0.001808725,Ac,13,500us,0.2_0.4
5.376078563,0.00192248,Ac,14,500us,0.2_0.4
4.857162993,0.001835699,Ac,15,500us,0.2_0.4
5.046874792,0.001762342,Ac,16,500us,0.2_0.4
4.371976131,0.001606727,Ac,17,500us,0.2_0.4
4.423211156,0.001679264,Ac,18,500us,0.2_0.4
4.503987959,0.001839923,Ac,19,500us,0.2_0.4
4.76129271,0.001734454,Ac,20,500us,0.2_0.4
9.580505309,0.001792375,Dr,1,0us,0.2_0.4
8.917726829,0.001777229,Dr,2,0us,0.2_0.4
9.342203586,0.00177591,Dr,3,0us,0.2_0.4
9.731495288,0.001892325,Dr,4,0us,0.2_0.4
9.524924879,0.001984828,Dr,5,0us,0.2_0.4
9.379041343,0.00201917,Dr,6,0us,0.2_0.4
