conc,tD,tD.err,n,n.err,lot,y0
700,722.25,9.42956344,2.508396286,0.098137821,0,699.9
500,719.5,4.949747468,2.479078272,0.051160683,0,499.9
450,719.6666667,20.20725942,2.484528038,0.207623223,0,449.9
300,725,6.055300708,2.536583233,0.063335566,1,299.9
100,702.25,5.737304826,2.305193257,0.056140739,1,99.9
30,669,11.53256259,1.993901032,0.103298721,1,29.9
25,611.5,21.39314532,1.525952385,0.155943121,1,24.9
20,606.3333333,6.658328118,1.483904468,0.048687524,1,19.9
25,613.3333333,4.509249753,1.441695493,0.031821387,2,24.9
20,612.75,17.68945072,1.44014526,0.12724075,2,19.9
15,592.5,4.203173404,1.299723923,0.027658042,2,14.9
10,573.3333333,22.18858565,1.181038444,0.138877554,2,9.9
5,527.6666667,27.61038452,0.92299977,0.146840447,2,4.9
10,552,35.87013614,0.982122999,0.190278995,3,9.9
5,536,23.15167381,0.894449528,0.115539217,3,4.9
2.5,536.5,44.54772721,0.90244232,0.222754716,3,2.4
1,531,3.605551275,0.866094992,0.017687373,3,0.9
0.3,523.5,10.60660172,0.830346349,0.050443183,3,0.2
